2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
13.628,-1.391,-2.938,-1.113,4.779,4.523,-1.002,6.445,-2.836,-1.444,-3.278,-0.331,-4.94,1.333,-4.724,6.44,-7.12,5.683,-2.616,2.733,5.819,0.886,-2.824
13.09,-1.833,-2.776,-1.78,3.172,3.833,-1.12,6.554,-3.503,-1.783,-4.604,-0.722,-4.779,1.056,-5.544,6.605,-8.287,4.784,-3.113,2.895,4.553,0.609,-2.554
12.436,-2.551,-2.942,-1.945,2.669,3.162,-1.396,6.549,-3.835,-2.884,-4.728,-1.171,-4.995,0.611,-5.322,6.567,-9.505,3.282,-3.392,2.172,3.89,0.164,-2.779
11.706,-3.777,-3.171,-2.446,2.39,2.614,-1.228,6.117,-3.942,-3.001,-5.725,-1.168,-4.833,0.498,-4.996,6.453,-10.609,2.71,-4.167,1.558,3.343,-0.444,-3.334
9.086,-3.899,-2.671,-2.767,2.168,2.336,-0.893,6.075,-3.997,-3.222,-5.502,-1.444,-4.725,0.001,-5.379,6.294,-11.336,1.776,-4.615,1.337,2.956,-0.393,-3.17
7.624,-4.782,-2.503,-3.327,2.056,1.559,-1.167,6.541,-4.214,-3.385,-5.611,-1.778,-5.003,-0.22,-5.56,6.344,-11.998,0.495,-4.73,1.561,3.224,-0.391,-3.661
6.125,-5.943,-1.893,-3.17,1.611,1.23,-1.551,6.743,-4.276,-2.994,-6.163,-1.667,-5.0,-0.168,-5.73,5.561,-12.056,-0.054,-4.84,1.782,2.67,-0.443,-3.392
5.402,-6.278,-2.004,-4.391,0.942,1.282,-1.331,6.933,-4.277,-2.063,-6.984,-2.059,-4.833,-0.554,-6.055,5.12,-12.338,-0.552,-6.051,1.559,2.395,-0.443,-2.781
4.613,-7.104,-1.945,-5.492,0.549,1.223,-1.168,6.888,-4.385,-1.62,-6.882,-2.063,-4.941,-0.387,-6.777,4.445,-13.0,-0.945,-6.664,1.781,1.952,-0.664,-2.003
3.336,-7.552,-1.669,-6.049,0.333,1.004,-1.333,6.522,-4.942,-1.114,-6.767,-2.007,-4.611,-0.39,-7.117,3.345,-14.164,-1.724,-7.069,2.0,1.562,-0.559,-1.788
